role_code,role_name,area,scope_base,module_key,module_name,view,create,edit,delete,approve,export,manage_users,configure_module,reports
ALUNO,Aluno,Educacao,ALUNO,financeiro,Financeiro,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,compras,Compras,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,contratos,Contratos,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,integracoes,Integracoes,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,paineis,Paineis / BI,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,conversor,Conversor de Documentos,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,rh,RH,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,ponto,Ponto,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,folha,Folha,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,patrimonio,Patrimonio,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,almoxarifado,Almoxarifado,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,frota,Frota,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,ouvidoria,Ouvidoria,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,tributos,Tributos,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,billing,Billing / Contrato SaaS,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,portal,Portal da Prefeitura,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
NEE,Técnico NEE,NEE (Inclusao),NEE,org,Administracao / ORG,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,educacao,Educacao,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,avaliacoes,Avaliacoes,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,nee,NEE,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,saude,Saude,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,processos,Processos / Protocolo,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,financeiro,Financeiro,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,compras,Compras,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,contratos,Contratos,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,integracoes,Integracoes,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,paineis,Paineis / BI,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,conversor,Conversor de Documentos,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,rh,RH,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,ponto,Ponto,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,folha,Folha,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,patrimonio,Patrimonio,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,almoxarifado,Almoxarifado,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,frota,Frota,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,ouvidoria,Ouvidoria,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,tributos,Tributos,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,billing,Billing / Contrato SaaS,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
NEE,Técnico NEE,NEE (Inclusao),NEE,portal,Portal da Prefeitura,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,org,Administracao / ORG,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,educacao,Educacao,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,avaliacoes,Avaliacoes,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,nee,NEE,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,saude,Saude,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,processos,Processos / Protocolo,SIM,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,financeiro,Financeiro,SIM,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,compras,Compras,SIM,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,contratos,Contratos,SIM,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,integracoes,Integracoes,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,paineis,Paineis / BI,SIM,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,conversor,Conversor de Documentos,SIM,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,rh,RH,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
